Walley, Joan (Labour)
Walter, Robert (Conservative)
Ward, David (Liberal Democrat)
Watkinson, Angela (Conservative)
Watson, Tom (Labour)
Watts, Dave (Labour)
Weatherley, Mike (Conservative)
Webb, Steve (Liberal Democrat)
Weir, Mike (Scottish National)
Wharton, James (Conservative)
Wheeler, Heather (Conservative)
White, Chris (Conservative)
Whiteford, Eilidh (Scottish National)
Whitehead, Alan (Labour)
Whittaker, Craig (Conservative)
Whittingdale, John (Conservative)
Wiggin, Bill (Conservative)
Willetts, David (Conservative)
Williams, Hywel (Plaid Cymru)
Williams, Mark (Liberal Democrat)
Williams, Roger (Liberal Democrat)
Williams, Stephen (Liberal Democrat)
Williamson, Chris (Labour)
Williamson, Gavin (Conservative)
Willott, Jenny (Liberal Democrat)
Wilson, Phil (Labour)
Wilson, Rob (Conservative)
Wilson, Sammy (Democratic Unionist)
Winnick, David (Labour)
Winterton, Rosie (Labour)
Wishart, Pete (Scottish National)
Wollaston, Sarah (Conservative)
Wood, Mike (Labour)
Woodcock, John (Labour (Co-op))
Woodward, Shaun (Labour)
Wright, David (Labour)
Wright, Iain (Labour)
Wright, Jeremy (Conservative)
Wright, Simon (Liberal Democrat)
Yeo, Tim (Conservative)
Young, George (Conservative)
Zahawi, Nadhim (Conservative)
